,AVG_FI,PROP_FI
,Problem,Problem
0,-136.79243928547655,-136.77860530005466
1,-119.99835998504611,-136.52296084112228
2,-119.99969859043105,-119.99982003875876
3,-136.95728388365322,-130.41951934008188
4,-119.99230119511616,-128.70520916273534
5,-138.65211407163702,-119.99891213005515
6,-136.97694881425497,-131.08811645089466
7,-119.9986673103775,-136.40438476845165
8,-119.99322947545105,-119.97280751549843
9,-137.28646824835906,-119.99865407924797
10,-138.82497811357632,-119.98188341490811
11,-119.99091629232231,-124.3654516022199
12,-135.67166165509732,-134.67092242686311
13,-133.34143391498262,-123.4131383074194
14,-138.70021636103695,-136.1432281902165
15,-138.13015491115885,-137.2378283501251
16,-119.99869508209069,-135.4370711408061
17,-136.37109251152364,-119.99254258918276
18,-136.23237276689832,-119.99285679397707
19,-119.99922558936854,-139.43461381759784
