,GA_SBX_PM,GA_PCX_PM
,F8_10D,F8_10D
0,-119.37608690730218,-119.48787738987265
1,-119.47086721180841,-119.45018277333527
2,-119.69240778682396,-119.45803128279927
3,-119.71076745575184,-119.49833527069278
4,-119.58187176844945,-119.40057872415159
5,-119.60798524586762,-119.53454067638833
6,-119.48330151089439,-119.44276874001766
7,-119.54279879740712,-119.50239851213516
8,-119.48452533942022,-119.44103987717607
9,-119.53371429409573,-119.66329149178999
10,-119.4518277566448,-119.35258006572758
11,-119.45526239723263,-119.43270638511059
12,-119.50460884821737,-119.56745899897825
13,-119.46149953357641,-119.41539660695076
14,-119.41447741622363,-119.47644469857468
15,-119.43754857367595,-119.41673693397912
16,-119.53930280891689,-119.39661045600387
17,-119.40756202781523,-119.5610806716588
18,-119.66562069803975,-119.60421765517592
19,-119.54028663784098,-119.5407774242497
20,-119.5897870369391,-119.59990059462329
21,-119.54389259362634,-119.36974531485946
22,-119.5664759086393,-119.41340327007265
23,-119.49422576788959,-119.57451727189212
24,-119.62988790053477,-119.38065805219992
25,-119.5714667664474,-119.4046766570278
26,-119.46329781962137,-119.3748664350325
27,-119.50122430944558,-119.3732590910185
28,-119.39646254630627,-119.55797583594943
29,-119.59382414170118,-119.47967798886044
