,GA_SBX_PM,GA_PCX_PM
,F8_2D,F8_2D
0,-139.9505237328165,-139.9501163444861
1,-139.9884663375742,-136.12148576508898
2,-139.7678228186462,-139.9659479313985
3,-137.988496994028,-139.50085907794968
4,-133.5661517728562,-139.97444804232984
5,-138.5924134924975,-139.91458368086137
6,-139.95130857427353,-139.81775327148694
7,-139.31955916823452,-139.943017357001
8,-139.9741508801693,-137.64490601577026
9,-119.99918816508887,-139.9962047620133
10,-139.61218948621405,-139.97489490362432
11,-136.5173620220315,-138.716479293716
12,-139.36280079884025,-139.67833651744755
13,-119.99942625017157,-139.5819684220749
14,-139.6556212630888,-139.5920659495563
15,-137.26721633299437,-139.63452907270027
16,-139.80216658342454,-139.72874014231522
17,-119.99998336451785,-139.85998460109158
18,-139.01582682722358,-139.74760293178068
19,-139.47517214418136,-139.83361762689074
20,-139.94758063905678,-139.9071890824094
21,-137.91358075664957,-119.9976686659071
22,-139.83469853971698,-139.68007919536572
23,-138.86204027318337,-139.95257573227195
24,-139.94900816800632,-139.25740171213312
25,-137.451607165066,-139.18795094151653
26,-137.28878242458123,-119.9990277250659
27,-139.65380720385608,-139.81511183583754
28,-139.76438714120212,-139.84490042458268
29,-139.96419574597553,-139.38956212246086
